[conformance] FAIL
  - CONTRACT_DRIFT: .github/workflows/01-pr-proof-contract.yml changed without contract regeneration (contract 76cdc4b5534f, actual 2778ae9068c3)
  - CONTRACT_DRIFT: .github/workflows/07-coverage-patch.yml changed without contract regeneration (contract 24afae218126, actual 38203a2e85e4)
  - CONTRACT_DRIFT: .github/workflows/08-contract-and-data-integrity.yml changed without contract regeneration (contract 459978cb3b7a, actual 4ab20522d628)
  - CONTRACT_DRIFT: .github/workflows/10-ai-eval-critical.yml changed without contract regeneration (contract 83ed21dd5185, actual fc3c61ec5295)
  - CONTRACT_DRIFT: .github/workflows/12-nightly-verification.yml changed without contract regeneration (contract a77a3a33a807, actual d391710ff1fd)
  - CONTRACT_DRIFT: .github/workflows/ci.yml changed without contract regeneration (contract feb30dc96f5f, actual ed6801cad842)
  - CONTRACT_DRIFT: .github/workflows/cron-mlb-canonical-refresh.yml changed without contract regeneration (contract 2cada7ec4243, actual 066a43bd7b86)
  - CONTRACT_DRIFT: .github/workflows/db-push.yml changed without contract regeneration (contract 14d3c7147929, actual 450e055d71ea)
  - CONTRACT_DRIFT: .github/workflows/db-reconcile-migrations.yml changed without contract regeneration (contract 5fc912cf0c01, actual a98cbac11545)
  - CONTRACT_DRIFT: .github/workflows/edge-arming-gate.yml changed without contract regeneration (contract b31e79bd33c1, actual bbd57e1f0b9f)
  - CONTRACT_DRIFT: .github/workflows/feed-responsive-cross-browser.yml changed without contract regeneration (contract 32b1efdb6337, actual e0ba16432cc3)
  - CONTRACT_DRIFT: .github/workflows/os-observe-crons.yml changed without contract regeneration (contract 27185963587b, actual 0458ee9c67b1)
  - CONTRACT_DRIFT: .github/workflows/perf-harness.yml changed without contract regeneration (contract 5440b716eb96, actual de950ad17ed4)
  - CONTRACT_DRIFT: .github/workflows/pi-review.yml changed without contract regeneration (contract 7594180b93ac, actual 39e99c0d6cd1)
  - CONTRACT_DRIFT: .github/workflows/security-audit-weekly.yml changed without contract regeneration (contract 713b9bb5c6d5, actual 3f2a793eba0f)
  - CONTRACT_DRIFT: .github/workflows/seed-cfb.yml changed without contract regeneration (contract edcf431d2a73, actual 1c6f483040e3)
  - CONTRACT_DRIFT: .github/workflows/seed-nfl.yml changed without contract regeneration (contract 0eb40abf225c, actual 5b83e674f3dd)
  - CONTRACT_DRIFT: .github/workflows/stripe-e2e.yml changed without contract regeneration (contract 85e31c1553d1, actual 2ec7075dc813)
